Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
12/14/2019 8:04:26 AM,Nuts,0.2,oz,Love it!
12/14/2019 12:12:27 PM,Yogurt,1.6,oz,Like it!
12/14/2019 8:17:20 AM,Yogurt,0.3,oz,Like it!
12/14/2019 9:21:44 AM,Fruit smoothies,0.65,oz,Like it!
12/14/2019 7:58:09 PM,Oatmeal,1.8,oz,Like it!
12/14/2019 6:28:50 PM,Fruit smoothies,2.0,oz,Love it!
12/13/2019 9:00:00 AM,Oatmeal,1.5,oz,Like it!
12/13/2019 11:33:41 AM,Fruit smoothies,2.0,oz,Love it!
12/13/2019 12:42:11 PM,Oatmeal,0.7,oz,Hate it!
12/13/2019 9:05:11 AM,Fruit smoothies,0.8,oz,Like it!
12/13/2019 9:50:34 AM,Fruit smoothies,2.6,oz,Love it!
12/13/2019 8:12:02 AM,Oatmeal,0.7,oz,Like it!
12/13/2019 5:00:25 PM,Fruit smoothies,1.8,oz,Like it!
12/13/2019 12:24:20 PM,Nuts,0.2,oz,Like it!
12/13/2019 6:35:19 PM,Yogurt,2.3,oz,Like it!
12/12/2019 3:15:31 PM,Nuts,0.6,oz,Like it!
12/12/2019 6:40:48 PM,Fruit smoothies,1.6,oz,Love it!
12/12/2019 12:05:22 PM,Oatmeal,2.5,oz,Like it!
12/12/2019 6:12:18 PM,Oatmeal,2.0,oz,Like it!
