Time of feeding,Milk type,Amount(ml),Amount(oz)
11/08/2019 9:20:33 AM,Formula,145.0,4.9032
11/08/2019 7:25:48 AM,Formula,80.0,2.7052
11/07/2019 7:18:32 PM,Formula,160.0,5.4104
11/07/2019 4:45:47 PM,Formula,205.0,6.9321
11/07/2019 3:05:24 PM,Formula,140.0,4.7341
11/07/2019 12:00:32 PM,Formula,125.0,4.2269
11/07/2019 9:30:33 AM,Formula,105.0,3.5506
11/07/2019 7:21:21 AM,Formula,80.0,2.7052
11/06/2019 7:08:38 PM,Formula,220.0,7.4393
11/06/2019 4:45:46 PM,Formula,90.0,3.0434
11/06/2019 3:30:12 PM,Formula,140.0,4.7341
11/06/2019 12:15:21 PM,Formula,125.0,4.2269
11/06/2019 9:35:16 AM,Formula,105.0,3.5506
11/06/2019 7:25:27 AM,Formula,80.0,2.7052
